A,0,0,46
A,0,1,51
A,0,2,52
A,0,14,125
A,0,17,88
A,0,22,85
A,0,34,202
A,0,38,97
A,0,39,26
A,0,40,212
A,0,47,245
A,0,48,67
A,0,51,221
A,0,57,33
A,0,59,38
A,0,63,217
A,0,64,69
A,0,65,24
A,0,70,83
A,0,71,138
A,0,72,252
A,0,75,10
A,0,76,173
A,0,77,46
A,0,89,166
A,0,93,107
A,0,95,132
A,0,104,167
A,0,106,239
A,0,109,139
A,0,120,252
A,0,126,147
A,0,127,85
A,0,133,22
A,0,136,180
A,0,140,111
A,0,148,128
A,0,150,122
A,0,151,252
A,0,168,42
A,0,180,223
A,0,185,224
A,0,191,108
A,0,202,154
A,0,204,164
A,0,205,213
A,0,207,33
A,0,208,95
A,0,209,112
A,0,222,110
A,0,223,128
A,0,228,52
A,0,229,247
A,0,231,250
A,0,233,22
A,0,235,162
A,0,236,230
A,0,244,237
A,0,246,191
A,0,247,17
A,0,259,233
A,0,260,64
A,0,268,91
A,0,272,23
A,0,281,123
A,0,282,122
A,0,283,32
A,0,286,91
A,0,287,142
A,0,297,194
A,0,300,221
A,0,307,4
A,0,308,150
A,0,309,105
A,0,312,38
A,0,316,244
A,0,321,62
A,0,324,68
A,0,325,14
A,0,330,24
A,0,331,43
A,0,335,246
A,0,337,145
A,0,344,40
A,0,348,133
A,0,351,88
A,0,356,36
A,0,358,63
A,0,364,157
A,0,367,175
A,0,375,171
A,0,376,252
A,0,377,140
A,0,378,31
A,0,379,129
A,0,390,46
A,0,392,184
A,0,394,20
A,0,395,31
A,0,396,141
A,0,398,33
A,0,402,226
A,0,406,241
A,0,408,86
A,0,418,116
A,0,419,2
A,0,423,118
A,0,426,154
A,0,447,13
A,0,458,122
A,0,461,193
A,0,464,189
A,0,475,180
A,0,476,213
A,0,485,151
A,0,493,187
A,0,496,84
A,0,498,54
A,1,0,150
A,1,6,22
A,1,16,199
A,1,17,214
A,1,18,133
A,1,19,152
A,1,21,18
A,1,23,136
A,1,27,158
A,1,37,94
A,1,45,196
A,1,46,191
A,1,47,116
A,1,52,92
A,1,78,31
A,1,79,185
A,1,81,232
A,1,83,52
A,1,84,32
A,1,85,230
A,1,89,234
A,1,90,81
A,1,102,60
A,1,104,13
A,1,105,70
A,1,107,253
A,1,111,137
A,1,113,27
A,1,114,167
A,1,116,216
A,1,122,58
A,1,123,185
A,1,124,58
A,1,125,244
A,1,126,71
A,1,130,25
A,1,139,105
A,1,140,25
A,1,146,5
A,1,149,226
A,1,150,116
A,1,157,110
A,1,158,88
A,1,160,236
A,1,165,116
A,1,173,8
A,1,174,19
A,1,191,47
A,1,197,215
A,1,203,113
A,1,210,117
A,1,213,76
A,1,214,86
A,1,215,194
A,1,218,47
A,1,224,72
A,1,225,183
A,1,230,204
A,1,231,94
A,1,232,249
A,1,234,185
A,1,236,136
A,1,237,26
A,1,241,157
A,1,245,172
A,1,246,252
A,1,252,167
A,1,256,33
A,1,259,135
A,1,261,232
A,1,263,182
A,1,264,135
A,1,268,113
A,1,273,122
A,1,277,97
A,1,278,192
A,1,282,15
A,1,283,12
A,1,292,25
A,1,293,164
A,1,295,12
A,1,299,111
A,1,301,95
A,1,305,198
A,1,306,171
A,1,308,213
A,1,313,121
A,1,316,137
A,1,320,27
A,1,321,35
A,1,322,124
A,1,324,231
A,1,328,199
