reviewType,reviewID,customerID,productID,feedback
0,123,456,789,Great product
1,124,457,789,The box this comes in is 5 kilometer by 5 inch and weights 13 kilogram!!!
0,125,458,789,"This Television, does exactly what it's suppose to do."
1,126,459,789,This Television works so well. It delightedly improves my football by a lot.
0,127,460,789,talk about sadness!!
1,128,461,789,"heard about this on instrumental country radio, decided to give it a try."
1,129,462,790,Great product
1,130,463,791,Real sold my in call. Invitation on an advantages collecting. But event old above shy bed noisy. Had sister see wooded favour income has. Stuff rapid since do as hence. Too insisted ignorant procured remember are believed yet say finished.
1,131,464,792,Letter wooded direct two men indeed income sister. Impression up admiration he by partiality is. Instantly immediate his saw one day perceived. 
1,132,465,793,Received the likewise law graceful his. Nor might set along charm now equal green. Pleased yet equally correct colonel not one.
1,133,466,794,"Even with the snow falling outside, she felt it appropriate to wear her bikini."
1,134,467,795,Excitement replaced fear until the final moment.
1,135,468,796,You're good at English when you know the difference between a man eating chicken and a man-eating chicken.
0,136,469,797,Writing a list of random sentences is harder than I initially thought it would be.
0,137,470,798,Trash covered the landscape like sprinkles do a birthday cake.
0,138,471,799,She tilted her head back and let whip cream stream into her mouth while taking a bath.
0,139,472,800,You've been eyeing me all day and waiting for your move like a lion stalking a gazelle in a savannah.
0,140,473,801,"Yeah, I think it's a good environment for learning English."
0,141,474,802,There's a message for you if you look up.
0,142,475,803,"Cats are good pets, for they are clean and are not noisy."
0,143,476,804,I covered my friend in baby oil.
0,144,477,805,The Japanese yen for commerce is still well-known.
0,145,478,806,The shooter says goodbye to his love.
0,146,479,807,"The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer."
0,147,480,808,Douglas figured the best way to succeed was to do the opposite of what he'd been doing all his life.
1,148,481,809,Not all people who wander are lost.
1,149,482,810,"Cats are good pets, for they are clean and are not noisy."
1,150,483,811,I covered my friend in baby oil.
1,151,484,812,"Despite what your teacher may have told you, there is a wrong way to wield a lasso."
1,152,485,813,Just go ahead and press that button.
1,153,486,814,Bill ran from the giraffe toward the dolphin.
0,154,487,815,"I had a friend in high school named Rick Shaw, but he was fairly useless as a mode of transport."
1,155,488,816,He uses onomatopoeia as a weapon of mental destruction.
0,156,489,817,A dead duck doesn't fly backward.
1,157,490,818,She saw no irony asking me to change but wanting me to accept her for who she is.
1,158,491,819,She used her own hair in the soup to give it more flavor.
0,159,492,820,I’m working on a sweet potato farm.
1,160,493,821,She traveled because it cost the same as therapy and was a lot more enjoyable.
1,161,494,822,You'll see the rainbow bridge after it rains cats and dogs.
0,162,495,823,Henry couldn't decide if he was an auto mechanic or a priest.
0,163,496,824,"She wrote him a long letter, but he didn't read it."
1,164,497,825,Trash covered the landscape like sprinkles do a birthday cake.
0,165,498,826,The fence was confused about whether it was supposed to keep things in or keep things out.
1,166,499,827,There's a growing trend among teenagers of using frisbees as go-cart wheels.
0,167,500,828,"For oil spots on the floor, nothing beats parking a motorbike in the lounge."
1,168,501,829,I only enjoy window shopping when the windows are transparent.
1,169,502,830,His ultimate dream fantasy consisted of being content and sleeping eight hours in a row.
1,170,503,831,The random sentence generator generated a random sentence about a random sentence.
1,171,504,832,"Car safety systems have come a long way, but he was out to prove they could be outsmarted."
1,172,505,833,I caught my squirrel rustling through my gym bag.
1,173,506,834,I’m a living furnace.
1,174,507,835,This is a Japanese doll.
1,175,508,836,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.
0,176,509,837,"I may struggle with geography, but I'm sure I'm somewhere around here."
0,177,510,838,The waves were crashing on the shore; it was a lovely sight.
0,178,511,839,Rock music approaches at high velocity.
0,179,512,840,He dreamed of eating green apples with worms.
0,180,513,841,He quietly entered the museum as the super bowl started.
0,181,514,842,He looked behind the door and didn't like what he saw.
0,182,515,843,Peter found road kill an excellent way to save money on dinner.
0,183,516,844,Nancy was proud that she ran a tight shipwreck.
0,184,517,845,Their argument could be heard across the parking lot.
0,185,518,846,"If I don’t like something, I’ll stay away from it."
0,186,519,847,She always had an interesting perspective on why the world must be flat.
